FY 2025 IPPS/LTCH PPS Final Rule: Hospital Readmissions Reduction Program Supplemental Data            ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital CNN,  Payment adjustment factor ,Payment reduction percentage,Dual proportion,Peer group assignment,Neutrality modifier ,Number of eligible discharges for AMI,ERR for AMI,Peer group median ERR for AMI,Penalty indicator for AMI,DRG payment ratio for AMI,Number of eligible discharges for COPD,ERR for COPD,Peer group median ERR for COPD,Penalty indicator for COPD,DRG payment ratio for COPD,Number of eligible discharges for HF,ERR for HF,Peer group median ERR for HF,Penalty indicator for HF,DRG payment ratio for HF,Number of eligible discharges for pneumonia,ERR for pneumonia,Peer group median ERR for pneumonia,Penalty indicator for pneumonia,DRG payment ratio for pneumonia,Number of eligible discharges for CABG,ERR for CABG,Peer group median ERR for CABG,Penalty indicator for CABG,DRG payment ratio for CABG,Number of eligible discharges for THA/TKA,ERR for THA/TKA,Peer group median ERR for THA/TKA,Penalty indicator for THA/TKA,DRG payment ratio for THA/TKA,
100099,0.9954,0.46%,0.2064,3,0.9652,21,1.0398,0.9958,N,0.0082,60,1.0228,0.9924,Y,0.0204,105,1.0652,0.9955,Y,0.0412,101,1.0180,0.9912,Y,0.0478,,,0.9943,N,,,,0.9963,N,,
100105,0.9994,0.06%,0.1143,1,0.9652,347,0.9686,0.9957,N,0.0269,251,0.9662,0.9940,N,0.0123,974,0.9317,0.9947,N,0.0460,632,0.9254,0.9944,N,0.0344,96,0.8576,0.9982,N,0.0157,77,1.0959,0.9913,Y,0.0061,
100107,0.9970,0.30%,0.2857,4,0.9652,16,0.9831,0.9972,N,0.0088,35,1.0814,0.9969,Y,0.0145,48,0.9831,1.0032,N,0.0233,98,1.0276,1.0002,Y,0.0676,,,1.0061,N,,,,0.9901,N,,
100109,0.9962,0.38%,0.1456,1,0.9652,354,0.9661,0.9957,N,0.0357,189,1.0601,0.9940,Y,0.0124,571,1.0625,0.9947,Y,0.0466,607,0.9650,0.9944,N,0.0595,,,0.9982,N,,25,0.9780,0.9913,N,0.0028,
100110,0.9918,0.82%,0.2393,3,0.9652,154,1.1329,0.9958,Y,0.0239,46,1.0194,0.9924,Y,0.0041,211,1.0872,0.9955,Y,0.0213,224,1.0640,0.9912,Y,0.0264,52,1.0584,0.9943,Y,0.0187,7,0.9741,0.9963,N,0.0008,
100113,0.9961,0.39%,0.1924,2,0.9652,153,0.9808,0.9956,N,0.0055,272,0.9178,0.9942,N,0.0069,758,1.0099,0.9875,Y,0.0171,787,1.1594,0.9895,Y,0.0196,51,0.9491,0.9966,N,0.0049,245,1.0386,0.9888,Y,0.0066,
100117,0.9981,0.19%,0.0936,1,0.9652,57,1.0158,0.9957,Y,0.0068,155,1.0133,0.9940,Y,0.0149,391,0.8950,0.9947,N,0.0459,365,1.0216,0.9944,Y,0.0565,,,0.9982,N,,67,0.9623,0.9913,N,0.0119,
100118,0.9988,0.12%,0.0936,1,0.9652,182,1.0364,0.9957,Y,0.0205,101,0.9928,0.9940,N,0.0078,509,0.9989,0.9947,Y,0.0437,499,0.9787,0.9944,N,0.0597,,,0.9982,N,,83,1.0080,0.9913,Y,0.0119,
100121,0.9967,0.33%,0.1993,3,0.9652,27,1.0497,0.9958,Y,0.0239,33,1.0182,0.9924,Y,0.0153,86,1.0348,0.9955,Y,0.0443,99,0.9549,0.9912,N,0.0601,,,0.9943,N,,5,1.0480,0.9963,N,0.0033,
100122,0.9997,0.03%,0.2167,3,0.9652,81,1.0134,0.9958,Y,0.0156,130,0.9668,0.9924,N,0.0178,241,0.9943,0.9955,N,0.0369,393,0.9108,0.9912,N,0.0795,1,0.9957,0.9943,N,0.0006,8,0.9621,0.9963,N,0.0018,
100124,0.9969,0.31%,0.1699,2,0.9652,26,1.0442,0.9956,Y,0.0057,111,0.9404,0.9942,N,0.0224,135,1.0442,0.9875,Y,0.0336,232,1.0062,0.9895,Y,0.0615,,,0.9966,N,,52,0.8968,0.9888,N,0.0189,
100125,1.0000,0.00%,0.4391,5,0.9652,2,1.0111,1.0014,N,0.0009,49,0.9863,1.0059,N,0.0127,76,1.0213,1.0188,Y,0.0187,133,0.9134,1.0110,N,0.0331,,,1.0032,N,,1,0.9977,0.9925,N,0.0004,
100126,0.9963,0.37%,0.1718,2,0.9652,35,1.0107,0.9956,Y,0.0094,75,0.9873,0.9942,N,0.0144,127,1.0083,0.9875,Y,0.0245,183,0.9847,0.9895,N,0.0403,,,0.9966,N,,90,1.1240,0.9888,Y,0.0237,
100127,0.9954,0.46%,0.1564,2,0.9652,363,1.0201,0.9956,Y,0.0252,254,0.9682,0.9942,N,0.0075,846,1.1221,0.9875,Y,0.0304,607,0.9914,0.9895,Y,0.0232,167,0.9313,0.9966,N,0.0194,106,0.8707,0.9888,N,0.0051,
100128,0.9961,0.39%,0.2093,3,0.9652,186,1.0040,0.9958,Y,0.0075,178,1.0560,0.9924,Y,0.0040,789,1.0840,0.9955,Y,0.0213,394,1.0012,0.9912,Y,0.0118,83,0.9350,0.9943,N,0.0079,397,1.1331,0.9963,Y,0.0123,
100130,1.0000,0.00%,0.4215,5,0.9652,2,0.9894,1.0014,N,0.0044,6,1.0135,1.0059,N,0.0101,13,1.0092,1.0188,N,0.0286,25,0.9552,1.0110,N,0.0592,,,1.0032,N,,,,0.9925,N,,
100131,0.9940,0.60%,0.2888,4,0.9652,96,1.1640,0.9972,Y,0.0139,117,1.0319,0.9969,Y,0.0070,314,1.0783,1.0032,Y,0.0250,518,1.0376,1.0002,Y,0.0479,11,1.0526,1.0061,N,0.0033,59,0.9901,0.9901,N,0.0058,
100132,1.0000,0.00%,0.2064,3,0.9652,53,0.9363,0.9958,N,0.0182,54,0.9341,0.9924,N,0.0120,124,0.8937,0.9955,N,0.0305,154,0.8999,0.9912,N,0.0413,,,0.9943,N,,,,0.9963,N,,
100134,0.9989,0.11%,0.2130,3,0.9652,,,0.9958,N,,26,0.9664,0.9924,N,0.0509,25,1.0164,0.9955,Y,0.0476,40,0.9926,0.9912,Y,0.0825,,,0.9943,N,,,,0.9963,N,,
100135,0.9982,0.18%,0.1367,1,0.9652,289,0.8686,0.9957,N,0.0246,139,0.9759,0.9940,N,0.0052,724,0.9518,0.9947,N,0.0345,432,1.0415,0.9944,Y,0.0216,163,1.0077,0.9982,Y,0.0272,70,1.1286,0.9913,Y,0.0045,
100137,0.9924,0.76%,0.1624,2,0.9652,69,1.0982,0.9956,Y,0.0165,73,0.9969,0.9942,Y,0.0134,119,1.0097,0.9875,Y,0.0246,148,1.0931,0.9895,Y,0.0351,,,0.9966,N,,44,1.1575,0.9888,Y,0.0118,
100140,1.0000,0.00%,0.0896,1,0.9652,17,0.9927,0.9957,N,0.0037,73,0.9853,0.9940,N,0.0167,185,0.9937,0.9947,N,0.0465,204,0.9752,0.9944,N,0.0616,,,0.9982,N,,8,0.9768,0.9913,N,0.0031,
100142,0.9948,0.52%,0.2736,4,0.9652,15,0.9708,0.9972,N,0.0045,81,1.0626,0.9969,Y,0.0273,128,1.0009,1.0032,N,0.0367,153,1.0770,1.0002,Y,0.0473,,,1.0061,N,,42,0.9458,0.9901,N,0.0211,
100150,0.9980,0.20%,0.1603,2,0.9652,14,0.9966,0.9956,N,0.0060,25,0.9771,0.9942,N,0.0077,155,0.8741,0.9875,N,0.0531,171,1.0184,0.9895,Y,0.0728,,,0.9966,N,,141,0.9569,0.9888,N,0.0743,
100151,0.9983,0.17%,0.0622,1,0.9652,169,1.0864,0.9957,Y,0.0064,149,0.9956,0.9940,Y,0.0054,858,1.0526,0.9947,Y,0.0203,787,0.8864,0.9944,N,0.0215,100,0.8905,0.9982,N,0.0079,90,0.9987,0.9913,Y,0.0031,
100154,0.9953,0.47%,0.2839,4,0.9652,156,0.8980,0.9972,N,0.0265,62,1.0303,0.9969,Y,0.0059,387,1.0713,1.0032,Y,0.0396,318,1.0573,1.0002,Y,0.0344,39,0.9608,1.0061,N,0.0170,5,0.9706,0.9901,N,0.0011,
100156,0.9924,0.76%,0.2581,4,0.9652,69,0.9783,0.9972,N,0.0097,176,1.0718,0.9969,Y,0.0166,466,1.0736,1.0032,Y,0.0504,477,1.0494,1.0002,Y,0.0627,,,1.0061,N,,9,0.9724,0.9901,N,0.0014,
100157,0.9889,1.11%,0.1725,2,0.9652,345,0.9848,0.9956,N,0.0172,510,1.1386,0.9942,Y,0.0126,"1,117",1.0929,0.9875,Y,0.0331,853,1.1304,0.9895,Y,0.0263,98,1.1753,0.9966,Y,0.0118,271,1.0242,0.9888,Y,0.0107,
100161,0.9958,0.42%,0.1746,2,0.9652,85,0.9958,0.9956,Y,0.0241,63,0.9501,0.9942,N,0.0077,243,1.0467,0.9875,Y,0.0345,183,1.0341,0.9895,Y,0.0301,34,1.0482,0.9966,Y,0.0189,44,0.9858,0.9888,N,0.0074,
100166,0.9956,0.44%,0.0753,1,0.9652,111,0.9510,0.9957,N,0.0138,101,0.9421,0.9940,N,0.0078,358,1.1332,0.9947,Y,0.0331,403,0.9764,0.9944,N,0.0480,,,0.9982,N,,532,0.8950,0.9913,N,0.0672,
100167,0.9969,0.31%,0.4647,5,0.9652,61,0.9683,1.0014,N,0.0200,55,0.9688,1.0059,N,0.0063,198,1.0606,1.0188,Y,0.0277,169,1.0621,1.0110,Y,0.0273,13,1.0013,1.0032,N,0.0097,38,1.0852,0.9925,Y,0.0067,
100168,0.9960,0.40%,0.0853,1,0.9652,301,0.9795,0.9957,N,0.0181,214,1.0534,0.9940,Y,0.0055,"1,080",0.9990,0.9947,Y,0.0385,"1,154",1.0383,0.9944,Y,0.0396,122,1.1156,0.9982,Y,0.0162,103,0.9531,0.9913,N,0.0055,
100173,0.9926,0.74%,0.2525,4,0.9652,179,1.0526,0.9972,Y,0.0232,197,0.9309,0.9969,N,0.0123,382,0.9360,1.0032,N,0.0236,504,0.9634,1.0002,N,0.0321,150,1.1970,1.0061,Y,0.0331,30,1.0111,0.9901,Y,0.0026,
100175,0.9973,0.27%,0.1756,2,0.9652,1,0.9957,0.9956,N,0.0010,38,1.0056,0.9942,Y,0.0355,49,0.9902,0.9875,Y,0.0483,79,1.0174,0.9895,Y,0.0827,,,0.9966,N,,6,0.9799,0.9888,N,0.0109,
100176,0.9916,0.84%,0.1152,1,0.9652,191,0.9601,0.9957,N,0.0320,115,1.0386,0.9940,Y,0.0066,464,1.0183,0.9947,Y,0.0407,642,1.1135,0.9944,Y,0.0472,88,1.0066,0.9982,Y,0.0316,70,1.2278,0.9913,Y,0.0068,
100177,1.0000,0.00%,0.1269,1,0.9652,147,0.9339,0.9957,N,0.0280,76,0.8772,0.9940,N,0.0092,229,0.9046,0.9947,N,0.0342,246,0.8895,0.9944,N,0.0372,,,0.9982,N,,31,0.9418,0.9913,N,0.0063,
100179,0.9977,0.23%,0.2475,4,0.9652,148,1.0191,0.9972,Y,0.0188,99,1.0514,0.9969,Y,0.0065,301,1.0545,1.0032,Y,0.0207,307,0.9653,1.0002,N,0.0255,67,1.0395,1.0061,Y,0.0162,397,0.9893,0.9901,N,0.0307,
100180,0.9951,0.49%,0.2945,4,0.9652,12,1.0328,0.9972,N,0.0040,56,1.0372,0.9969,Y,0.0123,83,1.0833,1.0032,Y,0.0209,186,1.0493,1.0002,Y,0.0600,,,1.0061,N,,4,0.9832,0.9901,N,0.0014,
100181,0.9982,0.18%,0.6311,5,0.9652,,,1.0014,N,,13,1.0434,1.0059,N,0.0033,22,1.0326,1.0188,N,0.0074,70,1.0652,1.0110,Y,0.0352,,,1.0032,N,,13,1.0340,0.9925,N,0.0061,
100183,0.9997,0.03%,0.5763,5,0.9652,8,0.9901,1.0014,N,0.0023,42,0.9575,1.0059,N,0.0165,93,1.0301,1.0188,Y,0.0278,152,0.9587,1.0110,N,0.0600,,,1.0032,N,,9,1.0451,0.9925,N,0.0037,
100187,0.9966,0.34%,0.5289,5,0.9652,128,1.0852,1.0014,Y,0.0384,50,1.0207,1.0059,Y,0.0072,177,0.9939,1.0188,N,0.0271,141,0.9758,1.0110,N,0.0236,12,1.0536,1.0032,N,0.0085,51,1.0175,0.9925,Y,0.0099,
100189,0.9933,0.67%,0.1952,3,0.9652,96,1.0963,0.9958,Y,0.0221,92,1.0510,0.9924,Y,0.0108,291,1.0801,0.9955,Y,0.0410,256,1.0065,0.9912,Y,0.0420,18,1.0970,0.9943,N,0.0114,2,0.9923,0.9963,N,0.0004,
100191,0.9916,0.84%,0.1639,2,0.9652,131,1.0166,0.9956,Y,0.0177,100,1.0465,0.9942,Y,0.0100,247,1.0959,0.9875,Y,0.0245,279,1.0989,0.9895,Y,0.0344,4,1.0188,0.9966,N,0.0020,57,1.1685,0.9888,Y,0.0079,
100200,0.9961,0.39%,0.2117,3,0.9652,19,1.0067,0.9958,N,0.0080,47,1.0067,0.9924,Y,0.0119,82,1.0467,0.9955,Y,0.0212,143,1.0526,0.9912,Y,0.0448,,,0.9943,N,,9,0.9745,0.9963,N,0.0037,
100204,0.9955,0.45%,0.1622,2,0.9652,378,0.9391,0.9956,N,0.0197,318,1.0696,0.9942,Y,0.0082,"1,004",0.9820,0.9875,N,0.0305,882,0.9791,0.9895,N,0.0304,151,1.1092,0.9966,Y,0.0149,422,1.1386,0.9888,Y,0.0161,
100206,0.9942,0.58%,0.2066,3,0.9652,29,1.0092,0.9958,Y,0.0095,52,0.9924,0.9924,Y,0.0109,136,1.1015,0.9955,Y,0.0312,109,1.0854,0.9912,Y,0.0277,,,0.9943,N,,16,0.9225,0.9963,N,0.0060,
100209,0.9980,0.20%,0.4841,5,0.9652,85,1.0862,1.0014,Y,0.0245,42,1.0097,1.0059,Y,0.0048,150,0.9595,1.0188,N,0.0217,297,0.9691,1.0110,N,0.0449,7,1.0212,1.0032,N,0.0053,18,1.0753,0.9925,N,0.0028,
100211,0.9966,0.34%,0.1985,3,0.9652,43,0.9468,0.9958,N,0.0233,46,1.0333,0.9924,Y,0.0136,132,1.0582,0.9955,Y,0.0477,127,0.8784,0.9912,N,0.0539,,,0.9943,N,,,,0.9963,N,,
100212,0.9909,0.91%,0.1175,1,0.9652,566,1.1141,0.9957,Y,0.0239,321,1.0303,0.9940,Y,0.0071,"1,097",1.0273,0.9947,Y,0.0294,"1,193",1.0589,0.9944,Y,0.0373,148,1.0477,0.9982,Y,0.0169,596,1.0924,0.9913,Y,0.0214,
100213,0.9953,0.47%,0.1296,1,0.9652,168,0.9960,0.9957,Y,0.0199,139,1.0063,0.9940,Y,0.0080,371,1.0137,0.9947,Y,0.0252,354,1.0922,0.9944,Y,0.0263,67,1.1004,0.9982,Y,0.0166,216,0.7782,0.9913,N,0.0176,
100217,0.9968,0.32%,0.0941,1,0.9652,101,0.9775,0.9957,N,0.0246,88,0.9595,0.9940,N,0.0124,266,1.0340,0.9947,Y,0.0444,235,1.0224,0.9944,Y,0.0429,,,0.9982,N,,30,1.0500,0.9913,Y,0.0068,
100220,0.9992,0.08%,0.1280,1,0.9652,448,1.0193,0.9957,Y,0.0196,290,0.9966,0.9940,Y,0.0070,995,0.9931,0.9947,N,0.0291,888,0.8807,0.9944,N,0.0282,1,0.9977,0.9982,N,0.0001,84,1.0886,0.9913,Y,0.0035,
100223,0.9962,0.38%,0.1369,1,0.9652,256,0.9949,0.9957,N,0.0317,135,1.0215,0.9940,Y,0.0075,483,1.0051,0.9947,Y,0.0316,437,1.0889,0.9944,Y,0.0323,159,1.0072,0.9982,Y,0.0379,44,0.9147,0.9913,N,0.0036,
100224,0.9942,0.58%,0.2516,4,0.9652,15,1.0187,0.9972,N,0.0023,41,0.9899,0.9969,N,0.0063,172,1.1390,1.0032,Y,0.0294,196,1.0434,1.0002,Y,0.0457,,,1.0061,N,,71,0.9932,0.9901,Y,0.0207,
100226,0.9960,0.40%,0.2105,3,0.9652,173,1.0392,0.9958,Y,0.0223,124,0.9899,0.9924,N,0.0075,388,1.0436,0.9955,Y,0.0279,519,0.9083,0.9912,N,0.0396,60,1.0030,0.9943,Y,0.0142,92,1.2358,0.9963,Y,0.0072,
100228,0.9951,0.49%,0.2238,3,0.9652,120,1.1027,0.9958,Y,0.0221,80,1.0604,0.9924,Y,0.0058,270,1.0593,0.9955,Y,0.0252,263,0.9567,0.9912,N,0.0285,28,1.0521,0.9943,Y,0.0115,22,1.1694,0.9963,N,0.0025,
100230,0.9985,0.15%,0.2876,4,0.9652,4,0.9868,0.9972,N,0.0004,46,1.0194,0.9969,Y,0.0109,80,0.9693,1.0032,N,0.0184,95,1.0494,1.0002,Y,0.0273,,,1.0061,N,,1,1.0752,0.9901,N,0.0005,
100231,0.9876,1.24%,0.1687,2,0.9652,264,1.2281,0.9956,Y,0.0240,166,0.9841,0.9942,N,0.0077,618,1.0289,0.9875,Y,0.0318,558,1.0677,0.9895,Y,0.0346,77,1.1368,0.9966,Y,0.0160,226,1.0516,0.9888,Y,0.0156,
100232,0.9927,0.73%,0.2042,3,0.9652,81,1.0686,0.9958,Y,0.0193,117,1.0167,0.9924,Y,0.0199,405,1.0136,0.9955,Y,0.0710,266,0.9827,0.9912,N,0.0580,,,0.9943,N,,45,1.4007,0.9963,Y,0.0109,
100236,0.9918,0.82%,0.1031,1,0.9652,220,1.0807,0.9957,Y,0.0254,128,1.0018,0.9940,Y,0.0074,396,0.9822,0.9947,N,0.0244,586,1.0963,0.9944,Y,0.0474,57,1.0918,0.9982,Y,0.0152,238,0.7904,0.9913,N,0.0200,
100238,0.9880,1.20%,0.2514,4,0.9652,106,1.0885,0.9972,Y,0.0217,106,1.1420,0.9969,Y,0.0097,245,1.1168,1.0032,Y,0.0275,256,1.0712,1.0002,Y,0.0306,33,1.1114,1.0061,Y,0.0151,55,1.2605,0.9901,Y,0.0080,
100242,0.9942,0.58%,0.1602,2,0.9652,126,1.0268,0.9956,Y,0.0114,163,0.9112,0.9942,N,0.0106,394,1.1183,0.9875,Y,0.0305,596,0.9458,0.9895,N,0.0482,,,0.9966,N,,131,1.1144,0.9888,Y,0.0134,
100243,0.9890,1.10%,0.1798,2,0.9652,159,1.0892,0.9956,Y,0.0214,138,0.9136,0.9942,N,0.0091,420,1.0812,0.9875,Y,0.0297,318,1.0715,0.9895,Y,0.0257,99,1.1541,0.9966,Y,0.0240,68,1.1029,0.9888,Y,0.0060,
100244,1.0000,0.00%,0.1434,1,0.9652,21,0.9725,0.9957,N,0.0009,284,0.9264,0.9940,N,0.0142,816,0.9663,0.9947,N,0.0436,622,0.9921,0.9944,N,0.0391,,,0.9982,N,,33,0.9938,0.9913,Y,0.0029,
100246,0.9804,1.96%,0.1973,3,0.9652,300,1.1233,0.9958,Y,0.0302,99,1.0609,0.9924,Y,0.0058,427,1.1563,0.9955,Y,0.0271,283,1.1880,0.9912,Y,0.0192,156,1.2164,0.9943,Y,0.0355,20,1.4109,0.9963,N,0.0015,
100248,0.9924,0.76%,0.2113,3,0.9652,150,1.0407,0.9958,Y,0.0261,92,1.0676,0.9924,Y,0.0057,383,1.1166,0.9955,Y,0.0328,370,1.0662,0.9912,Y,0.0310,72,0.9395,0.9943,N,0.0212,16,0.9815,0.9963,N,0.0015,
100249,0.9948,0.52%,0.1345,1,0.9652,172,1.0530,0.9957,Y,0.0260,111,0.9581,0.9940,N,0.0121,329,1.0638,0.9947,Y,0.0411,273,1.0242,0.9944,Y,0.0358,,,0.9982,N,,207,0.7140,0.9913,N,0.0360,
100252,0.9961,0.39%,0.1602,2,0.9652,27,0.9362,0.9956,N,0.0060,124,1.0066,0.9942,Y,0.0296,180,1.0459,0.9875,Y,0.0502,130,1.0058,0.9895,Y,0.0457,,,0.9966,N,,10,1.1090,0.9888,N,0.0043,
100253,0.9960,0.40%,0.0447,1,0.9652,137,1.0454,0.9957,Y,0.0144,219,1.0019,0.9940,Y,0.0090,520,1.0234,0.9947,Y,0.0274,852,1.0498,0.9944,Y,0.0467,91,0.9774,0.9982,N,0.0163,576,0.9123,0.9913,N,0.0382,
100254,0.9921,0.79%,0.2758,4,0.9652,116,0.9773,0.9972,N,0.0201,87,0.9707,0.9969,N,0.0071,272,1.1492,1.0032,Y,0.0265,275,1.0700,1.0002,Y,0.0316,58,1.0837,1.0061,Y,0.0191,89,1.0393,0.9901,Y,0.0120,
100256,0.9894,1.06%,0.1300,1,0.9652,186,1.2410,0.9957,Y,0.0230,146,1.0145,0.9940,Y,0.0086,402,1.0093,0.9947,Y,0.0284,308,1.0615,0.9944,Y,0.0230,96,1.1319,0.9982,Y,0.0239,56,0.9187,0.9913,N,0.0048,
100258,0.9965,0.35%,0.1076,1,0.9652,373,1.0487,0.9957,Y,0.0262,158,1.0541,0.9940,Y,0.0042,935,0.9993,0.9947,Y,0.0326,947,0.9247,0.9944,N,0.0351,114,1.0713,0.9982,Y,0.0175,71,1.1735,0.9913,Y,0.0032,
100259,0.9888,1.12%,0.1001,1,0.9652,94,1.0523,0.9957,Y,0.0156,91,1.0483,0.9940,Y,0.0111,343,1.1210,0.9947,Y,0.0451,335,1.0834,0.9944,Y,0.0501,,,0.9982,N,,26,0.9533,0.9913,N,0.0056,
100260,0.9700,3.00%,0.1434,1,0.9652,86,1.2491,0.9957,Y,0.0075,192,1.1277,0.9940,Y,0.0120,409,1.2680,0.9947,Y,0.0296,447,1.1216,0.9944,Y,0.0397,,,0.9982,N,,"1,017",1.3420,0.9913,Y,0.1084,
100264,0.9888,1.12%,0.1054,1,0.9652,283,1.0830,0.9957,Y,0.0255,231,0.9735,0.9940,N,0.0101,621,1.0428,0.9947,Y,0.0356,696,0.9809,0.9944,N,0.0470,65,1.0334,0.9982,Y,0.0156,166,1.5573,0.9913,Y,0.0127,
100265,0.9997,0.03%,0.1281,1,0.9652,269,0.8872,0.9957,N,0.0235,188,1.0306,0.9940,Y,0.0092,701,0.9228,0.9947,N,0.0416,564,0.9455,0.9944,N,0.0391,,,0.9982,N,,4,0.9869,0.9913,N,0.0003,
100266,0.9996,0.04%,0.0937,1,0.9652,6,1.0057,0.9957,N,0.0010,75,0.9877,0.9940,N,0.0149,205,1.0035,0.9947,Y,0.0427,212,0.9893,0.9944,N,0.0582,,,0.9982,N,,66,0.8849,0.9913,N,0.0217,
100267,0.9933,0.67%,0.0577,1,0.9652,147,1.0754,0.9957,Y,0.0343,71,1.0067,0.9940,Y,0.0114,212,1.0990,0.9947,Y,0.0387,221,0.9906,0.9944,N,0.0473,,,0.9982,N,,36,0.9461,0.9913,N,0.0098,
100268,0.9973,0.27%,0.1599,2,0.9652,13,0.9839,0.9956,N,0.0018,50,1.0076,0.9942,Y,0.0075,207,1.0394,0.9875,Y,0.0343,249,1.0080,0.9895,Y,0.0507,,,0.9966,N,,25,0.9506,0.9888,N,0.0067,
100269,0.9917,0.83%,0.2368,3,0.9652,38,1.0822,0.9958,Y,0.0072,59,0.9776,0.9924,N,0.0088,146,0.9952,0.9955,N,0.0222,215,1.1897,0.9912,Y,0.0400,,,0.9943,N,,9,1.0449,0.9963,N,0.0020,
100275,0.9883,1.17%,0.1849,2,0.9652,75,1.0963,0.9956,Y,0.0106,91,0.9687,0.9942,N,0.0101,323,1.1021,0.9875,Y,0.0368,294,1.1233,0.9895,Y,0.0393,,,0.9966,N,,70,1.1370,0.9888,Y,0.0105,
100276,0.9920,0.80%,0.1923,2,0.9652,57,1.0536,0.9956,Y,0.0177,74,1.0367,0.9942,Y,0.0107,166,1.0323,0.9875,Y,0.0311,270,1.0873,0.9895,Y,0.0557,,,0.9966,N,,11,1.0260,0.9888,N,0.0027,
100277,1.0000,0.00%,0.5000,5,0.9652,,,1.0014,N,,,,1.0059,N,,,,1.0188,N,,1,0.9966,1.0110,N,0.0372,,,1.0032,N,,,,0.9925,N,,
100281,0.9943,0.57%,0.2589,4,0.9652,107,0.9785,0.9972,N,0.0138,109,1.0796,0.9969,Y,0.0072,393,1.0596,1.0032,Y,0.0341,311,1.0974,1.0002,Y,0.0314,,,1.0061,N,,28,1.0906,0.9901,Y,0.0033,
100284,0.9906,0.94%,0.7984,5,0.9652,17,1.0465,1.0014,N,0.0065,38,1.0468,1.0059,Y,0.0144,29,1.0402,1.0188,Y,0.0097,179,1.1523,1.0110,Y,0.0631,,,1.0032,N,,1,0.9929,0.9925,N,0.0005,
100285,0.9979,0.21%,0.3464,5,0.9652,7,0.9907,1.0014,N,0.0036,25,0.9789,1.0059,N,0.0077,97,1.0814,1.0188,Y,0.0347,97,0.9599,1.0110,N,0.0398,,,1.0032,N,,14,1.0369,0.9925,N,0.0072,
100286,0.9913,0.87%,0.0776,1,0.9652,343,1.0740,0.9957,Y,0.0256,209,1.0764,0.9940,Y,0.0070,868,1.0649,0.9947,Y,0.0361,723,1.0413,0.9944,Y,0.0331,160,1.0321,0.9982,Y,0.0257,155,1.1485,0.9913,Y,0.0091,
100287,0.9917,0.83%,0.2727,4,0.9652,82,1.0245,0.9972,Y,0.0101,74,1.1384,0.9969,Y,0.0062,235,1.0903,1.0032,Y,0.0240,301,1.0783,1.0002,Y,0.0397,,,1.0061,N,,119,1.1201,0.9901,Y,0.0174,
100288,0.9996,0.04%,0.2566,4,0.9652,2,0.9959,0.9972,N,0.0002,14,1.0034,0.9969,N,0.0032,46,1.0134,1.0032,Y,0.0062,74,0.9805,1.0002,N,0.0127,,,1.0061,N,,40,1.0324,0.9901,Y,0.0082,
100289,0.9985,0.15%,0.1170,1,0.9652,89,1.0584,0.9957,Y,0.0117,98,1.0283,0.9940,Y,0.0056,483,0.9662,0.9947,N,0.0323,257,1.0303,0.9944,Y,0.0171,63,0.9894,0.9982,N,0.0138,50,0.8448,0.9913,N,0.0044,
100290,0.9970,0.30%,0.0499,1,0.9652,350,0.9492,0.9957,N,0.0280,229,1.0481,0.9940,Y,0.0111,854,1.0117,0.9947,Y,0.0488,804,1.0111,0.9944,Y,0.0504,,,0.9982,N,,107,1.0922,0.9913,Y,0.0084,
100291,0.9916,0.84%,0.1442,1,0.9652,42,1.0449,0.9957,Y,0.0118,38,0.9576,0.9940,N,0.0075,84,1.0308,0.9947,Y,0.0182,116,0.9587,0.9944,N,0.0226,,,0.9982,N,,298,1.0826,0.9913,Y,0.0814,
100292,0.9979,0.21%,0.0781,1,0.9652,74,0.9997,0.9957,Y,0.0164,29,0.9405,0.9940,N,0.0046,175,1.0003,0.9947,Y,0.0311,238,1.0364,0.9944,Y,0.0472,,,0.9982,N,,12,0.9362,0.9913,N,0.0034,
100296,0.9984,0.16%,0.3125,4,0.9652,5,1.0014,0.9972,N,0.0011,39,1.0182,0.9969,Y,0.0069,128,1.0045,1.0032,Y,0.0234,167,1.0424,1.0002,Y,0.0360,,,1.0061,N,,185,0.7160,0.9901,N,0.0564,
100298,1.0000,0.00%,0.0000,1,0.9652,,,0.9957,N,,,,0.9940,N,,,,0.9947,N,,1,0.9977,0.9944,N,1.0000,,,0.9982,N,,,,0.9913,N,,
100299,0.9989,0.11%,0.0644,1,0.9652,158,0.8524,0.9957,N,0.0271,87,1.0204,0.9940,Y,0.0083,304,0.9379,0.9947,N,0.0344,209,0.9342,0.9944,N,0.0262,,,0.9982,N,,186,1.0253,0.9913,Y,0.0272,
100302,0.9971,0.29%,0.2423,4,0.9652,35,0.9819,0.9972,N,0.0106,49,1.0060,0.9969,Y,0.0106,135,1.0478,1.0032,Y,0.0343,159,1.0293,1.0002,Y,0.0491,,,1.0061,N,,2,0.9940,0.9901,N,0.0007,
100307,0.9932,0.68%,0.1966,3,0.9652,92,0.9836,0.9958,N,0.0193,54,1.0072,0.9924,Y,0.0060,218,1.0377,0.9955,Y,0.0298,308,1.1080,0.9912,Y,0.0484,,,0.9943,N,,67,0.8582,0.9963,N,0.0124,
