FY 2025 IPPS/LTCH PPS Final Rule: Hospital Readmissions Reduction Program Supplemental Data            ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital CNN,  Payment adjustment factor ,Payment reduction percentage,Dual proportion,Peer group assignment,Neutrality modifier ,Number of eligible discharges for AMI,ERR for AMI,Peer group median ERR for AMI,Penalty indicator for AMI,DRG payment ratio for AMI,Number of eligible discharges for COPD,ERR for COPD,Peer group median ERR for COPD,Penalty indicator for COPD,DRG payment ratio for COPD,Number of eligible discharges for HF,ERR for HF,Peer group median ERR for HF,Penalty indicator for HF,DRG payment ratio for HF,Number of eligible discharges for pneumonia,ERR for pneumonia,Peer group median ERR for pneumonia,Penalty indicator for pneumonia,DRG payment ratio for pneumonia,Number of eligible discharges for CABG,ERR for CABG,Peer group median ERR for CABG,Penalty indicator for CABG,DRG payment ratio for CABG,Number of eligible discharges for THA/TKA,ERR for THA/TKA,Peer group median ERR for THA/TKA,Penalty indicator for THA/TKA,DRG payment ratio for THA/TKA,
010040,0.9977,0.23%,0.1522,2,0.9652,132,0.9817,0.9956,N,0.0255,97,0.9886,0.9942,N,0.0099,235,0.9818,0.9875,N,0.0302,235,0.9714,0.9895,N,0.0337,56,1.0777,0.9966,Y,0.0256,60,1.0242,0.9888,Y,0.0101,
010044,1.0000,0.00%,0.1273,1,0.9652,1,0.9974,0.9957,N,0.0016,9,0.9774,0.9940,N,0.0180,35,0.9562,0.9947,N,0.0726,58,0.9492,0.9944,N,0.1284,,,0.9982,N,,,,0.9913,N,,
010045,0.9984,0.16%,0.2357,3,0.9652,,,0.9958,N,,31,1.0488,0.9924,Y,0.0299,55,0.9855,0.9955,N,0.0591,66,0.9883,0.9912,N,0.0829,,,0.9943,N,,,,0.9963,N,,
010046,0.9900,1.00%,0.1702,2,0.9652,60,0.9659,0.9956,N,0.0131,103,1.0480,0.9942,Y,0.0126,284,1.0925,0.9875,Y,0.0397,277,1.0904,0.9895,Y,0.0547,5,1.0579,0.9966,N,0.0032,18,0.9921,0.9888,N,0.0041,
010049,0.9957,0.43%,0.1397,1,0.9652,8,1.0136,0.9957,N,0.0035,59,1.0438,0.9940,Y,0.0164,102,1.0285,0.9947,Y,0.0309,152,1.0465,0.9944,Y,0.0497,,,0.9982,N,,119,0.8900,0.9913,N,0.0572,
010051,1.0000,0.00%,0.3419,5,0.9652,,,1.0014,N,,1,0.9984,1.0059,N,0.0047,1,0.9982,1.0188,N,0.0042,,,1.0110,N,,,,1.0032,N,,,,0.9925,N,,
010052,0.9968,0.32%,0.2197,3,0.9652,,,0.9958,N,,11,1.0022,0.9924,N,0.0278,7,0.9940,0.9955,N,0.0142,25,1.0435,0.9912,Y,0.0632,,,0.9943,N,,,,0.9963,N,,
010055,0.9891,1.09%,0.1391,1,0.9652,263,1.0867,0.9957,Y,0.0371,126,0.9486,0.9940,N,0.0094,325,0.9641,0.9947,N,0.0254,305,1.0004,0.9944,Y,0.0292,84,1.1755,0.9982,Y,0.0258,106,1.2633,0.9913,Y,0.0117,
010056,0.9949,0.51%,0.0960,1,0.9652,150,1.0215,0.9957,Y,0.0200,82,0.9772,0.9940,N,0.0047,439,0.9489,0.9947,N,0.0301,405,1.0370,0.9944,Y,0.0310,96,1.1313,0.9982,Y,0.0257,138,0.9213,0.9913,N,0.0124,
010058,1.0000,0.00%,0.3312,5,0.9652,1,0.9976,1.0014,N,0.0028,4,0.9910,1.0059,N,0.0101,10,1.0029,1.0188,N,0.0296,29,0.9402,1.0110,N,0.1197,,,1.0032,N,,,,0.9925,N,,
010059,1.0000,0.00%,0.1494,2,0.9652,2,0.9926,0.9956,N,0.0086,13,1.0224,0.9942,N,0.0384,14,0.9771,0.9875,N,0.0422,39,0.9772,0.9895,N,0.1316,,,0.9966,N,,,,0.9888,N,,
010061,0.9999,0.01%,0.1828,2,0.9652,12,0.9901,0.9956,N,0.0048,41,0.9980,0.9942,Y,0.0160,68,0.9393,0.9875,N,0.0322,115,0.9658,0.9895,N,0.0583,,,0.9966,N,,22,1.0141,0.9888,N,0.0166,
010062,1.0000,0.00%,0.2338,3,0.9652,4,1.0059,0.9958,N,0.0080,13,0.9669,0.9924,N,0.0164,18,0.9839,0.9955,N,0.0282,25,0.9722,0.9912,N,0.0434,,,0.9943,N,,,,0.9963,N,,
010065,0.9995,0.05%,0.1475,1,0.9652,26,1.0115,0.9957,Y,0.0216,38,1.0035,0.9940,Y,0.0193,94,0.9604,0.9947,N,0.0526,87,0.9314,0.9944,N,0.0569,,,0.9982,N,,36,0.8537,0.9913,N,0.0320,
010069,0.9987,0.13%,0.2243,3,0.9652,2,0.9961,0.9958,N,0.0024,21,1.0175,0.9924,N,0.0217,39,1.0252,0.9955,Y,0.0452,40,0.9433,0.9912,N,0.0558,,,0.9943,N,,,,0.9963,N,,
010073,1.0000,0.00%,0.2937,4,0.9652,2,0.9945,0.9972,N,0.0014,20,0.9946,0.9969,N,0.0181,18,0.9728,1.0032,N,0.0169,31,0.9695,1.0002,N,0.0316,,,1.0061,N,,,,0.9901,N,,
010078,0.9875,1.25%,0.1569,2,0.9652,196,1.1409,0.9956,Y,0.0262,190,0.8528,0.9942,N,0.0175,311,1.0350,0.9875,Y,0.0336,270,0.9644,0.9895,N,0.0300,,,0.9966,N,,177,1.2908,0.9888,Y,0.0250,
010079,0.9931,0.69%,0.1200,1,0.9652,6,0.9844,0.9957,N,0.0008,105,1.0135,0.9940,Y,0.0220,151,0.9989,0.9947,Y,0.0338,179,1.0464,0.9944,Y,0.0483,,,0.9982,N,,170,1.0610,0.9913,Y,0.0586,
010083,0.9951,0.49%,0.0761,1,0.9652,113,1.0180,0.9957,Y,0.0258,116,0.9495,0.9940,N,0.0139,277,1.0014,0.9947,Y,0.0465,262,0.9840,0.9944,N,0.0449,,,0.9982,N,,98,1.1909,0.9913,Y,0.0212,
